# Monthly wet deposition fluxes (ng/m2/d). Data provided by O. Travnikov, Global Mercury Assessment 2018
# SiteID,Lat,Lon,Month,Year,Concentration
CNF,34.1938,-116.9131,10,2015,0.118211E+02
CNF,34.1938,-116.9131,11,2015,0.107243E+02
CNF,34.1938,-116.9131,12,2015,0.809957E+01
CPN,36.9081,-95.8823,1,2015,0.481542E+01
CPN,36.9081,-95.8823,2,2015,0.955395E+01
CPN,36.9081,-95.8823,3,2015,0.147635E+02
CPN,36.9081,-95.8823,4,2015,0.520924E+02
CPN,36.9081,-95.8823,5,2015,0.668122E+02
CPN,36.9081,-95.8823,6,2015,0.434141E+02
CPN,36.9081,-95.8823,7,2015,0.287066E+02
CPN,36.9081,-95.8823,8,2015,0.469548E+02
CPN,36.9081,-95.8823,9,2015,0.630082E+01
CPN,36.9081,-95.8823,10,2015,0.153281E+02
CPN,36.9081,-95.8823,11,2015,0.258265E+02
CPN,36.9081,-95.8823,12,2015,0.154898E+02
CPR,32.943,-79.6592,1,2015,0.187286E+02
CPR,32.943,-79.6592,2,2015,0.200544E+02
CPR,32.943,-79.6592,3,2015,0.111772E+02
CPR,32.943,-79.6592,4,2015,0.169203E+02
CPR,32.943,-79.6592,5,2015,0.769693E+01
CPR,32.943,-79.6592,6,2015,0.253978E+02
CPR,32.943,-79.6592,7,2015,0.401079E+02
CPR,32.943,-79.6592,8,2015,0.389169E+02
CPR,32.943,-79.6592,9,2015,0.292123E+02
CPR,32.943,-79.6592,10,2015,0.163276E+02
CPR,32.943,-79.6592,11,2015,0.227988E+02
CPR,32.943,-79.6592,12,2015,0.128422E+02
CPS,49.8225,-74.9753,1,2015,0.348262E+01
CPS,49.8225,-74.9753,2,2015,0.534026E+01
CPS,49.8225,-74.9753,3,2015,0.784807E+01
CPS,49.8225,-74.9753,4,2015,0.117098E+02
CPS,49.8225,-74.9753,5,2015,0.252961E+02
CPS,49.8225,-74.9753,6,2015,0.150800E+02
CPS,49.8225,-74.9753,7,2015,0.381475E+02
CPS,49.8225,-74.9753,8,2015,0.217950E+02
CPS,49.8225,-74.9753,9,2015,0.798517E+01
CPS,49.8225,-74.9753,10,2015,0.100127E+02
CPS,49.8225,-74.9753,11,2015,0.764317E+01
CPS,49.8225,-74.9753,12,2015,0.140326E+02
CRB,46.8675,-68.0134,1,2015,0.160178E+01
CRB,46.8675,-68.0134,2,2015,0.426847E+01
CRB,46.8675,-68.0134,3,2015,0.792177E+01
